NAME,Total Population,Median HHI,Median HHI White,Median HHI Black,Less than High School,High School,Associate's Degree,Bachelor's Degree,Master's Degree or Higher,Proportion White,Proportion Black,Proportion All Other Races,Home Ownership Rate
1011,2349.0,63571.0,67321.0,69427.0,0.1076388888888889,0.35358796296296297,0.08159722222222222,0.2048611111111111,0.04050925925925926,0.7105151128139634,0.12473392933163048,0.16475095785440613,0.9079925650557621
1012,3477.0,88212.0,82188.0,,0.04164948453608248,0.24371134020618557,0.08288659793814433,0.3080412371134021,0.15381443298969072,0.639631866551625,0.20276100086281276,0.15760713258556228,0.9046221570066031
1013,3596.0,71053.0,70365.0,,0.08097027673385719,0.17833959685685002,0.07721216262384695,0.2668261018107277,0.19234711308507005,0.7255283648498332,0.20300333704115683,0.07146829810901001,0.5242470648289944
1014,2847.0,54480.0,61190.0,,0.10730593607305935,0.4075342465753425,0.06963470319634703,0.16837899543378995,0.12385844748858447,0.440463645943098,0.2339304531085353,0.3256059009483667,0.5729076790336497
1015,2637.0,38986.0,44583.0,29385.0,0.18914473684210525,0.29989035087719296,0.09539473684210527,0.13596491228070176,0.07785087719298246,0.5688282138794084,0.3120970800151687,0.11907470610542283,0.39902676399026765
1018,3565.0,48922.0,29512.0,53291.0,0.14138576779026218,0.5374531835205992,0.046348314606741575,0.0852059925093633,0.04962546816479401,0.42861150070126225,0.27489481065918653,0.29649368863955117,0.468944099378882
1021,2349.0,62692.0,59954.0,37404.0,0.05766458433445459,0.2532436328688131,0.09418548774627583,0.24795771263815472,0.1830850552618933,0.8552575564069816,0.05832269050659855,0.08641975308641975,0.4773635153129161
1022,5219.0,91500.0,90107.0,110994.0,0.05590350266759453,0.18070053351890514,0.07863604732080724,0.2927395035954535,0.2533054975643702,0.8867599156926614,0.06188925081433225,0.05135083349300632,0.8346007604562737
1023,2369.0,65579.0,71750.0,130777.0,0.03659305993690852,0.289589905362776,0.09905362776025237,0.2555205047318612,0.09842271293375394,0.5420008442380752,0.3047699451245251,0.15322921063739975,0.6225234619395204
1024,2577.0,54495.0,59875.0,52948.0,0.1053878034339846,0.1699230313795145,0.09591474245115453,0.2747187685020722,0.06927175843694494,0.5273573923166472,0.25300737291424136,0.21963523476911137,0.6219281663516069
1025,1916.0,70583.0,69375.0,125298.0,0.06593406593406594,0.16095669036845509,0.09308338720103426,0.25210084033613445,0.22301228183581126,0.7025052192066806,0.10177453027139875,0.19572025052192066,0.8020833333333334
1031,3195.0,59674.0,61458.0,38371.0,0.0430622009569378,0.26156299840510366,0.07655502392344497,0.25,0.24082934609250398,0.7270735524256651,0.210641627543036,0.062284820031298906,0.377151051625239
1034,1889.0,74375.0,71500.0,,0.05149396058486968,0.14431023521932612,0.20089001907183726,0.2917991099809282,0.14049586776859505,0.8877713075701429,0.06087877183695077,0.0513499205929063,0.8072916666666666
1036,1207.0,76429.0,75179.0,,0.07004310344827586,0.12392241379310345,0.08081896551724138,0.23814655172413793,0.28879310344827586,0.8956089478044739,0.004971002485501243,0.09942004971002485,0.8321678321678322
1037,2502.0,77983.0,78317.0,146677.0,0.0449722081859525,0.15209701869631126,0.056088933804951994,0.34007074279939364,0.13188479029813036,0.7733812949640287,0.11390887290167866,0.11270983213429256,0.7437550362610797
1038,3777.0,77956.0,77852.0,,0.016366065464261857,0.22177688710754842,0.06680026720106881,0.2528390113560454,0.20607882431529725,0.8991262907069102,0.03997881916865237,0.060894890124437384,0.773753280839895
1042,3351.0,71038.0,71303.0,,0.030292102416155788,0.15073927154706093,0.07428777497295348,0.36098088712585646,0.24846736386584925,0.7326171292151596,0.11101163831692032,0.15637123246792003,0.4719416386083053
1045,2331.0,75382.0,74605.0,83490.0,0.060363247863247864,0.16773504273504272,0.018162393162393164,0.28685897435897434,0.3557692307692308,0.7966537966537967,0.09009009009009009,0.11325611325611326,0.2359230220955096
1051.98,3771.0,76952.0,99531.0,,0.012200844673862036,0.01689347724073205,0.025340215861098078,0.30924448615673394,0.5729704364148287,0.6648103951206576,0.14372845399098383,0.19146115088835852,0.5148574893875075
1052,2989.0,52708.0,67356.0,29475.0,0.03972064600611087,0.0798777826276735,0.0650371017023134,0.36272370144041904,0.35006547359231777,0.37805286048845765,0.42522582803613246,0.19672131147540983,0.5035087719298246
1053,1928.0,26412.0,107036.0,25324.0,0.26549413735343386,0.16750418760469013,0.08375209380234507,0.11976549413735343,0.11222780569514237,0.09647302904564316,0.8454356846473029,0.058091286307053944,0.26730937773882557
1054,2404.0,68277.0,72917.0,67669.0,0.05698529411764706,0.39276960784313725,0.058823529411764705,0.08823529411764706,0.17095588235294118,0.05906821963394343,0.8352745424292846,0.10565723793677205,0.2052910052910053
1055,2653.0,54766.0,68068.0,54243.0,0.14578947368421052,0.21368421052631578,0.08105263157894736,0.15947368421052632,0.16157894736842104,0.07350169619298907,0.8714662646061063,0.05503203920090464,0.47092547092547093
1061,1395.0,27796.0,,27961.0,0.09133709981167608,0.4529190207156309,0.07909604519774012,0.060263653483992465,0.064030131826742,0.025089605734767026,0.9663082437275986,0.008602150537634409,0.44475524475524475
1062,1802.0,23421.0,,23240.0,0.12112676056338029,0.476056338028169,0.05352112676056338,0.0323943661971831,0.02112676056338028,0.002774694783573807,0.9911209766925638,0.006104328523862375,0.23013245033112584
1063,1359.0,40000.0,,40000.0,0.2603613177470776,0.47927736450584485,0.030818278427205102,0.03825717321997875,0.007438894792773645,0.0,1.0,0.0,0.288135593220339
